Super_Markets,Lat,Long
Araz Supermarket_Nasimi,40.426458,49.827966
Araz Supermarket_Bakikhanov,40.423739,49.968928
Araz Supermarket_Nizami,40.413407,49.94953
Araz Supermarket_Nizami1,40.418924,49.941163
Araz Supermarket_Nizami2,40.418843,49.936019
Araz Supermarket_Narimanov,40.408929,49.868759
Araz Supermarket_Hasan_Aliyev,40.40283,49.852685
Araz Supermarket_Ataturk,40.409541,49.846547
Araz Supermarket_Jafar_khandan,40.415389,49.828809
Araz Supermarket_Kaverochkin,40.388149,49.845106
Araz Supermarket_Agha_Neymatulla,40.396625,49.879023
